dupl,new
980.0,1998617.0
981.0,1998618.0
982.0,1998619.0
983.0,1998620.0
984.0,1998621.0
985.0,1998622.0
986.0,1998623.0
987.0,1998624.0
988.0,1998625.0
989.0,1998626.0
990.0,1998627.0
991.0,1998628.0
992.0,1998629.0
993.0,1998630.0
994.0,1998631.0
995.0,1998632.0
996.0,1998633.0
997.0,1998634.0
998.0,1998635.0
999.0,1998636.0
1000.0,1998637.0
1001.0,1998638.0
1002.0,1998639.0
1003.0,1998640.0
1004.0,1998641.0
1005.0,1998642.0
1006.0,1998643.0
1007.0,1998644.0
1008.0,1998645.0
1009.0,1998646.0
1010.0,1998647.0
1011.0,1998648.0
1012.0,1998649.0
1013.0,1998650.0
1014.0,1998651.0
1015.0,1998652.0
1016.0,1998653.0
1017.0,1998654.0
1018.0,1998655.0
1019.0,1998656.0
1020.0,1998657.0
1021.0,1998658.0
1022.0,1998659.0
1023.0,1998660.0
1024.0,1998661.0
1025.0,1998662.0
1026.0,1998663.0
1027.0,1998664.0
1028.0,1998665.0
1029.0,1998666.0
1030.0,1998667.0
1031.0,1998668.0
1032.0,1998669.0
1033.0,1998670.0
1034.0,1998671.0
1035.0,1998672.0
1036.0,1998673.0
1037.0,1998674.0
1038.0,1998675.0
1039.0,1998676.0
1040.0,1998677.0
1041.0,1998678.0
1042.0,1998679.0
1043.0,1998680.0
1044.0,1998681.0
1045.0,1998682.0
1046.0,1998683.0
1047.0,1998684.0
1048.0,1998685.0
1049.0,1998686.0
1050.0,1998687.0
1051.0,1998688.0
1052.0,1998689.0
1053.0,1998690.0
1054.0,1998691.0
1055.0,1998692.0
1056.0,1998693.0
1057.0,1998694.0
1058.0,1998695.0
1059.0,1998696.0
1060.0,1998697.0
1061.0,1998698.0
1062.0,1998699.0
1063.0,1998700.0
1064.0,1998701.0
1065.0,1998702.0
1066.0,1998703.0
1067.0,1998704.0
1068.0,1998705.0
1069.0,1998706.0
1070.0,1998707.0
1071.0,1998708.0
1072.0,1998709.0
1073.0,1998710.0
1074.0,1998711.0
1075.0,1998712.0
1076.0,1998713.0
1077.0,1998714.0
1078.0,1998715.0
1079.0,1998716.0
1080.0,1998717.0
1081.0,1998718.0
1082.0,1998719.0
1083.0,1998720.0
1084.0,1998721.0
1085.0,1998722.0
1086.0,1998723.0
1087.0,1998724.0
1088.0,1998725.0
1089.0,1998726.0
1090.0,1998727.0
1091.0,1998728.0
1092.0,1998729.0
1093.0,1998730.0
1094.0,1998731.0
1095.0,1998732.0
1096.0,1998733.0
1097.0,1998734.0
1098.0,1998735.0
1099.0,1998736.0
1100.0,1998737.0
1101.0,1998738.0
1102.0,1998739.0
1103.0,1998740.0
1104.0,1998741.0
1105.0,1998742.0
1106.0,1998743.0
1107.0,1998744.0
1108.0,1998745.0
1109.0,1998746.0
1110.0,1998747.0
1111.0,1998748.0
1112.0,1998749.0
1113.0,1998750.0
1114.0,1998751.0
1115.0,1998752.0
1116.0,1998753.0
1117.0,1998754.0
1118.0,1998755.0
1119.0,1998756.0
1120.0,1998757.0
1121.0,1998758.0
1122.0,1998759.0
1123.0,1998760.0
1124.0,1998761.0
1125.0,1998762.0
1126.0,1998763.0
1127.0,1998764.0
1128.0,1998765.0
1129.0,1998766.0
1130.0,1998767.0
1131.0,1998768.0
1132.0,1998769.0
1133.0,1998770.0
1134.0,1998771.0
1135.0,1998772.0
1136.0,1998773.0
1137.0,1998774.0
1138.0,1998775.0
1139.0,1998776.0
1140.0,1998777.0
1141.0,1998778.0
1142.0,1998779.0
1143.0,1998780.0
1144.0,1998781.0
1145.0,1998782.0
1146.0,1998783.0
1147.0,1998784.0
1148.0,1998785.0
1149.0,1998786.0
1150.0,1998787.0
1151.0,1998788.0
1152.0,1998789.0
1153.0,1998790.0
1154.0,1998791.0
1155.0,1998792.0
1156.0,1998793.0
1157.0,1998794.0
1158.0,1998795.0
1159.0,1998796.0
1160.0,1998797.0
1161.0,1998798.0
1162.0,1998799.0
1163.0,1998800.0
1164.0,1998801.0
1165.0,1998802.0
1166.0,1998803.0
1167.0,1998804.0
1168.0,1998805.0
1169.0,1998806.0
1170.0,1998807.0
1171.0,1998808.0
1172.0,1998809.0
1173.0,1998810.0
1174.0,1998811.0
1175.0,1998812.0
1176.0,1998813.0
1177.0,1998814.0
1178.0,1998815.0
1179.0,1998816.0
1180.0,1998817.0
1181.0,1998818.0
1182.0,1998819.0
1183.0,1998820.0
1184.0,1998821.0
1185.0,1998822.0
1186.0,1998823.0
1187.0,1998824.0
1188.0,1998825.0
1189.0,1998826.0
1190.0,1998827.0
1191.0,1998828.0
1192.0,1998829.0
1193.0,1998830.0
1194.0,1998831.0
1195.0,1998832.0
1196.0,1998833.0
1197.0,1998834.0
1198.0,1998835.0
1199.0,1998836.0
1200.0,1998837.0
1201.0,1998838.0
1202.0,1998839.0
1203.0,1998840.0
1204.0,1998841.0
1205.0,1998842.0
1206.0,1998843.0
1207.0,1998844.0
1208.0,1998845.0
1209.0,1998846.0
1210.0,1998847.0
1211.0,1998848.0
1212.0,1998849.0
1213.0,1998850.0
1214.0,1998851.0
1215.0,1998852.0
1216.0,1998853.0
1217.0,1998854.0
1218.0,1998855.0
1219.0,1998856.0
1220.0,1998857.0
1221.0,1998858.0
1222.0,1998859.0
1223.0,1998860.0
1224.0,1998861.0
1225.0,1998862.0
1226.0,1998863.0
1227.0,1998864.0
1228.0,1998865.0
1229.0,1998866.0
1230.0,1998867.0
1231.0,1998868.0
1232.0,1998869.0
1233.0,1998870.0
1234.0,1998871.0
1235.0,1998872.0
1236.0,1998873.0
1237.0,1998874.0
1238.0,1998875.0
1239.0,1998876.0
1240.0,1998877.0
1241.0,1998878.0
1242.0,1998879.0
1243.0,1998880.0
1244.0,1998881.0
1245.0,1998882.0
1246.0,1998883.0
1247.0,1998884.0
1248.0,1998885.0
1249.0,1998886.0
1250.0,1998887.0
1251.0,1998888.0
1252.0,1998889.0
1253.0,1998890.0
1254.0,1998891.0
1255.0,1998892.0
1256.0,1998893.0
1257.0,1998894.0
1258.0,1998895.0
1259.0,1998896.0
1260.0,1998897.0
1261.0,1998898.0
1262.0,1998899.0
1263.0,1998900.0
1264.0,1998901.0
1265.0,1998902.0
1266.0,1998903.0
1267.0,1998904.0
1268.0,1998905.0
1269.0,1998906.0
1270.0,1998907.0
1271.0,1998908.0
1272.0,1998909.0
1273.0,1998910.0
1274.0,1998911.0
1275.0,1998912.0
1276.0,1998913.0
1277.0,1998914.0
1278.0,1998915.0
1279.0,1998916.0
1280.0,1998917.0
1281.0,1998918.0
1282.0,1998919.0
1283.0,1998920.0
1284.0,1998921.0
1285.0,1998922.0
1286.0,1998923.0
1287.0,1998924.0
1288.0,1998925.0
1289.0,1998926.0
1290.0,1998927.0
1291.0,1998928.0
1292.0,1998929.0
1293.0,1998930.0
1294.0,1998931.0
1295.0,1998932.0
1296.0,1998933.0
1297.0,1998934.0
1298.0,1998935.0
1299.0,1998936.0
1300.0,1998937.0
1301.0,1998938.0
1302.0,1998939.0
1303.0,1998940.0
1304.0,1998941.0
1305.0,1998942.0
1306.0,1998943.0
1307.0,1998944.0
1308.0,1998945.0
1309.0,1998946.0
1310.0,1998947.0
1311.0,1998948.0
1312.0,1998949.0
1313.0,1998950.0
